base_dataset,referenced_base_root,variant_name,variant_type,num_transforms,transform_chain,metrics_file,transform_metadata_file,pipeline_summary,pipeline_json,latest_transform,oldest_transform,pipeline_seed,model,pair_file,embeddings_file,dataset_hash,pair_seed,num_repeats,num_folds,eval_python_version,eval_numpy_version,num_embeddings,embedding_dim,num_pairs,num_genuine_pairs,num_impostor_pairs,best_threshold,accuracy,auc,eer,far,frr,tar,precision,recall,f1,tp,tn,fp,fn,eer_threshold,far_at_eer,frr_at_eer,score_min,score_mean,score_std,score_max,runtime_seconds,limitations,bootstrap_n_valid,cv_accuracy_mean,cv_accuracy_std,cv_auc_mean,cv_auc_std,cv_eer_mean,cv_eer_std,cv_far_mean,cv_far_std,cv_frr_mean,cv_frr_std,cv_tar_mean,cv_tar_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,boot_accuracy_mean,boot_accuracy_std,boot_accuracy_ci95_low,boot_accuracy_ci95_high,boot_auc_mean,boot_auc_std,boot_auc_ci95_low,boot_auc_ci95_high,boot_eer_mean,boot_eer_std,boot_eer_ci95_low,boot_eer_ci95_high,boot_far_mean,boot_far_std,boot_far_ci95_low,boot_far_ci95_high,boot_frr_mean,boot_frr_std,boot_frr_ci95_low,boot_frr_ci95_high,boot_f1_mean,boot_f1_std,boot_f1_ci95_low,boot_f1_ci95_high,cv_tar_far_0p001_mean,cv_tar_far_0p001_std,cv_tar_far_0p01_mean,cv_tar_far_0p01_std,cv_tar_far_0p1_mean,cv_tar_far_0p1_std,boot_tar_far_0p1_mean,boot_tar_far_0p1_std,boot_tar_far_0p1_ci95_low,boot_tar_far_0p1_ci95_high,boot_tar_far_0p01_mean,boot_tar_far_0p01_std,boot_tar_far_0p01_ci95_low,boot_tar_far_0p01_ci95_high,boot_tar_far_0p001_mean,boot_tar_far_0p001_std,boot_tar_far_0p001_ci95_low,boot_tar_far_0p001_ci95_high,tar_far_0p1_tar,tar_far_0p1_threshold,tar_far_0p1_actual_far,tar_far_0p1,tar_far_0p01_tar,tar_far_0p01_threshold,tar_far_0p01_actual_far,tar_far_0p01,tar_far_0p001_tar,tar_far_0p001_threshold,tar_far_0p001_actual_far,tar_far_0p001
CelebA,train,train,clean,0,clean,/Users/jeromeharianto/Documents/School2/FYP/Results/train/FaceNet/metrics.json,,,,,,,FaceNet,,,,,,,,,7840,,115548,57774,57774,0.3210805654525757,0.944031917471527,,0.059005781147228854,0.03903139820680583,0.0729047668501402,,0.9596001218266836,0.9270952331498598,0.9430676726149079,53562,55519,2255,4212,0.2854313254356384,0.059005781147228854,0.059005781147228854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CelebA,train,train,clean,0,clean,/Users/jeromeharianto/Documents/School2/FYP/Results/train/InsightFace/metrics.json,,,,,,,InsightFace,,,,,,,,,7829,,115221,57616,57605,0.20450000000000013,0.9741366591159598,,0.04051344512433148,0.0022914677545351966,0.04943071369064149,,0.9975956284153006,0.9505692863093586,0.9735148778840342,54768,57473,132,2848,0.12050000000000005,0.040482596996788474,0.04054429325187448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CelebA,val,val,clean,0,clean,/Users/jeromeharianto/Documents/School2/FYP/Results/val/FaceNet/metrics.json,,,,,,,FaceNet,/Users/jeromeharianto/Documents/School2/FYP/Dataset/pairs/CelebA_val_pairs.npz,/Users/jeromeharianto/Documents/School2/FYP/Results/val/FaceNet/embeddings.npz,3cfa2aaddf468baec4c3e9828e530e48e993a3e5547d26a6b5c06e3e5b173c97,,1,5,3.9.6,2.0.2,1991,512,5946,2973,2973,0.30721455812454224,0.9372687521022536,0.9801668882482992,0.06458123107971746,0.04944500504540868,0.07601749075008409,0.9239825092499159,0.9492052522460263,0.9239825092499159,0.9364240668143856,2747,2826,147,226,0.27680274844169617,0.06458123107971746,0.06458123107971746,-0.41909727454185486,0.32174620032310486,0.336515337228775,0.9938751459121704,64.479774209,"Thresholds are selected by accuracy on train folds unless otherwise changed. | Bootstrap CIs are pair-level, not identity-level. | AUC and EER are computed from observed score thresholds on this evaluation set. | This script evaluates one embedding model on one pair file; cross-model transfer should be run separately.",1000,0.9359202670967376,0.006428852239081512,0.9798647309679396,0.003844804158728645,0.06592818945760122,0.005779203808318506,0.04911411029058088,0.014321478592183221,0.07904535551594374,0.008820838744036405,0.9209546444840562,0.008820838744036422,0.9495768535658353,0.01366872076883918,0.9209546444840562,0.008820838744036422,0.9349672557694412,0.006171652119231316,0.9378595694584594,0.0030705740426650347,0.9317145980491087,0.9441641439623276,0.9801629331610783,0.001622526191891104,0.9768893513514036,0.9831731176136915,0.06495913808103292,0.0032944730781146233,0.05836178735358876,0.07164450940652581,0.04919957383148338,0.00773830545543214,0.036116853308382796,0.06599580895380086,0.07511716051062933,0.008391361612303617,0.058450126604560476,0.09125319160679812,0.9369978650348997,0.003304340269550443,0.930405614271383,0.9434438913557551,0.5145629969159381,0.14705754103279361,0.8122858840505899,0.03893787096150623,0.9525693913929209,0.010754599587103696,0.9529604021908314,0.004745433339109601,0.943631085097119,0.9617855212732963,0.8023219250286309,0.015257700606594957,0.7731638136349512,0.8363732555653952,0.5184702557957139,0.08161508190839888,0.3472841781424501,0.6529190027227018,0.9525731584258325,0.23496505618095398,0.09989909182643794,0.9525731584258325,0.7978472922973427,0.470996618270874,0.009754456777665657,0.7978472922973427,0.48166834846955936,0.6536340117454529,0.0006727211570803902,0.48166834846955936
CelebA,val,val,clean,0,clean,/Users/jeromeharianto/Documents/School2/FYP/Results/val/InsightFace/metrics.json,,,,,,,InsightFace,/Users/jeromeharianto/Documents/School2/FYP/Dataset/pairs/CelebA_val_pairs.npz,/Users/jeromeharianto/Documents/School2/FYP/Results/val/InsightFace/embeddings.npz,3cfa2aaddf468baec4c3e9828e530e48e993a3e5547d26a6b5c06e3e5b173c97,,1,5,3.9.6,2.0.2,1989,512,5935,2967,2968,0.1972823441028595,0.9696714406065712,0.9832076357452189,0.041786016350566016,0.005053908355795148,0.055611729019211326,0.9443882709807887,0.9946751863684771,0.9443882709807887,0.9688796680497925,2802,2953,15,165,0.11860251426696777,0.04177897574123989,0.04179305695989215,-0.21315506100654602,0.30915963649749756,0.33324140310287476,0.9701358079910278,64.905075125,"Thresholds are selected by accuracy on train folds unless otherwise changed. | Bootstrap CIs are pair-level, not identity-level. | AUC and EER are computed from observed score thresholds on this evaluation set. | This script evaluates one embedding model on one pair file; cross-model transfer should be run separately. | If --allow-missing-pairs is used, results depend on the filtered subset rather than the full intended protocol.",1000,0.9689955949076584,0.006270323875894882,0.982570435275736,0.002869262021132136,0.04347297233915625,0.009791150042619602,0.006402990037550101,0.003019479522545126,0.055612334701710765,0.012387108918743,0.9443876652982892,0.012387108918742977,0.9932734902894109,0.003129844422147347,0.9443876652982892,0.012387108918742977,0.9681777877523359,0.006614115212259212,0.9699150800336983,0.0021755429258968756,0.9656276326874473,0.9742207245155855,0.9831447765005955,0.0017765595120057636,0.9792892533261215,0.986467685757611,0.04197641639658745,0.003032576624490662,0.03621591304034367,0.048525124800698906,0.004684518797785067,0.0022155663529231256,0.0006889069485970525,0.009798127576729272,0.05550850988507852,0.004565811280728807,0.04671217317012227,0.0648185347032302,0.9691129428965085,0.002265339892997445,0.9645916741232196,0.9736894140363788,0.9373061701898127,0.015346163750754687,0.9470846747406613,0.012188948726245024,0.9646101259929253,0.008346450570994613,0.9648767061520915,0.003440676090058637,0.9578226280465301,0.9717992119796566,0.9468256489489137,0.004236537995580737,0.9384453020630191,0.955103329833042,0.9336915769290782,0.006652369738913447,0.9200938463248931,0.9452031255205079,0.9646107178968655,0.08789387345314026,0.09973045822102426,0.9646107178968655,0.9460734748904618,0.17462158203125,0.00977088948787062,0.9460734748904618,0.9329288843950118,0.2955886125564575,0.0006738544474393531,0.9329288843950118
